MeterID;Timestamp;TotalActiveEnergyProduced;TotalActiveEnergyConsumed;TotalReactiveEnergyProduced;TotalReactiveEnergyConsumed
LGZ0031832019;00:00.0;0;0.126;0.381;0
LGZ0031832019;00:00.0;0;0.179;0.377;0
LGZ0031832019;00:00.0;0;0.131;0.382;0
LGZ0031832019;00:00.0;0;0.123;0.379;0
LGZ0031832019;00:00.0;0;0.119;0.379;0
LGZ0031832019;00:00.0;0;0.116;0.378;0
LGZ0031832019;00:00.0;0;1.562;0.369;0
LGZ0031832019;00:00.0;0;2.826;0.408;0
LGZ0031832019;00:00.0;0;1.839;0.417;0
LGZ0031832019;00:00.0;0;0.962;0.393;0
LGZ0031832019;00:00.0;0;0.191;0.392;0
LGZ0031832019;00:00.0;0;0.166;0.397;0
LGZ0031832019;00:00.0;0;0.132;0.388;0
LGZ0031832019;00:00.0;0;0.147;0.385;0
LGZ0031832019;00:00.0;0;0.138;0.384;0
LGZ0031832019;00:00.0;0;0.802;0.334;0.001
LGZ0031832019;00:00.0;0;1.092;0.579;0
LGZ0031832019;00:00.0;0;1;0.421;0
LGZ0031832019;00:00.0;0;0.417;0.412;0
LGZ0031832019;00:00.0;0;0.375;0.427;0
LGZ0031832019;00:00.0;0;0.717;0.411;0.001
LGZ0031832019;00:00.0;0;0.344;0.41;0
LGZ0031832019;00:00.0;0;0.183;0.393;0
LGZ0031832019;00:00.0;0;0.12;0.381;0
LGZ0031832019;00:00.0;0;0.121;0.386;0
LGZ0031832019;00:00.0;0;0.12;0.38;0
LGZ0031832019;00:00.0;0;0.12;0.384;0
LGZ0031832019;00:00.0;0;0.116;0.386;0
LGZ0031832019;00:00.0;0;0.115;0.387;0
LGZ0031832019;00:00.0;0;0.123;0.389;0
LGZ0031832019;00:00.0;0;1.701;0.36;0
LGZ0031832019;00:00.0;0;2.809;0.261;0
LGZ0031832019;00:00.0;0;2.008;0.486;0
LGZ0031832019;00:00.0;0;1.075;0.44;0
LGZ0031832019;00:00.0;0;0.183;0.39;0
LGZ0031832019;00:00.0;0;0.177;0.393;0
LGZ0031832019;00:00.0;0;0.277;0.42;0
LGZ0031832019;00:00.0;0;0.261;0.409;0
LGZ0031832019;00:00.0;0;0.283;0.387;0
LGZ0031832019;00:00.0;0;0.134;0.361;0
LGZ0031832019;00:00.0;0;0.16;0.368;0
LGZ0031832019;00:00.0;0;2.052;0.39;0
LGZ0031832019;00:00.0;0;1.306;0.373;0
LGZ0031832019;00:00.0;0;2.514;0.421;0
LGZ0031832019;00:00.0;0;0.607;0.425;0
LGZ0031832019;00:00.0;0;0.989;0.428;0
LGZ0031832019;00:00.0;0;0.335;0.395;0
LGZ0031832019;00:00.0;0;0.148;0.38;0
LGZ0031832019;00:00.0;0;0.121;0.375;0
LGZ0031832019;00:00.0;0;0.118;0.376;0
LGZ0031832019;00:00.0;0;0.124;0.371;0
LGZ0031832019;00:00.0;0;0.128;0.369;0
LGZ0031832019;00:00.0;0;0.122;0.371;0
LGZ0031832019;00:00.0;0;1.192;0.356;0
LGZ0031832019;00:00.0;0;3.314;0.348;0
LGZ0031832019;00:00.0;0;3.033;0.561;0
LGZ0031832019;00:00.0;0;1.601;0.398;0
LGZ0031832019;00:00.0;0;1.042;0.373;0
LGZ0031832019;00:00.0;0;0.256;0.375;0
LGZ0031832019;00:00.0;0;0.138;0.372;0
LGZ0031832019;00:00.0;0;0.146;0.373;0
LGZ0031832019;00:00.0;0;0.139;0.375;0
LGZ0031832019;00:00.0;0;0.133;0.382;0
LGZ0031832019;00:00.0;0;0.122;0.381;0
LGZ0031832019;00:00.0;0;0.134;0.383;0
LGZ0031832019;00:00.0;0;0.155;0.388;0
LGZ0031832019;00:00.0;0;0.266;0.403;0
LGZ0031832019;00:00.0;0;0.258;0.41;0
LGZ0031832019;00:00.0;0;0.287;0.396;0
LGZ0031832019;00:00.0;0;0.387;0.415;0
LGZ0031832019;00:00.0;0;0.202;0.391;0
LGZ0031832019;00:00.0;0;0.55;0.294;0
LGZ0031832019;00:00.0;0;0.67;0.535;0
LGZ0031832019;00:00.0;0;0.123;0.385;0
LGZ0031832019;00:00.0;0;0.121;0.394;0
LGZ0031832019;00:00.0;0;0.118;0.392;0
LGZ0031832019;00:00.0;0;0.116;0.375;0
LGZ0031832019;00:00.0;0;0.906;0.377;0
LGZ0031832019;00:00.0;0;2.147;0.401;0
LGZ0031832019;00:00.0;0;1.838;0.402;0
LGZ0031832019;00:00.0;0;0.97;0.407;0
LGZ0031832019;00:00.0;0;0.506;0.383;0
LGZ0031832019;00:00.0;0;0.139;0.377;0
LGZ0031832019;00:00.0;0;0.139;0.385;0
LGZ0031832019;00:00.0;0;0.158;0.388;0
LGZ0031832019;00:00.0;0;0.16;0.387;0
LGZ0031832019;00:00.0;0;0.135;0.383;0
LGZ0031832019;00:00.0;0;0.176;0.386;0
LGZ0031832019;00:00.0;0;0.118;0.389;0
LGZ0031832019;00:00.0;0;0.272;0.391;0
LGZ0031832019;00:00.0;0;1.189;0.436;0
LGZ0031832019;00:00.0;0;0.383;0.414;0
LGZ0031832019;00:00.0;0;1.053;0.438;0
LGZ0031832019;00:00.0;0;1.419;0.379;0
LGZ0031832019;00:00.0;0;0.896;0.439;0
LGZ0031832019;00:00.0;0;0.665;0.33;0
LGZ0031832019;00:00.0;0;0.747;0.48;0
LGZ0031832019;00:00.0;0;0.247;0.403;0
LGZ0031832019;00:00.0;0;0.245;0.402;0
