ct;descripcio;tram;tensio;num_linia;cable;seccio;intensitat_admisible;reactancia;resistencia;material;tipus;longitud_cad;geom;node_start;node_end
CT-0975;E.T. CAN DRAPER-2;170275;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.448000;LINESTRING (438798.3618 4612678.5723, 438798.3618 4612678.7578, 438798.6243 4612678.7578);58026;58020
CT-0975;E.T. CAN DRAPER-2;170260;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.433400;LINESTRING (438798.6243 4612678.6578, 438798.3752 4612678.6578, 438798.3752 4612678.4735);58023;58034
CT-0975;E.T. CAN DRAPER-2;170271;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.061900;LINESTRING (438798.32660000003 4612678.3747000005, 438798.3885 4612678.3747000005);58036;58037
CT-0975;E.T. CAN DRAPER-2;170267;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.157000;LINESTRING (438798.2684 4612678.4735, 438798.2684 4612678.3747000005, 438798.32660000003 4612678.3747000005);58032;58036
CT-0975;E.T. CAN DRAPER-2;170279;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.462500;LINESTRING (438798.6243 4612678.8578, 438798.3485 4612678.8578, 438798.3485 4612678.6711);58019;58022
CT-0975;E.T. CAN DRAPER-2;170261;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.464800;LINESTRING (438798.3752 4612678.4735, 438798.3752 4612678.2578, 438798.6243 4612678.2578);58034;58043
CT-0975;E.T. CAN DRAPER-2;170278;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.489100;LINESTRING (438798.3485 4612678.6711, 438798.3485 4612678.4578, 438798.6243 4612678.4578);58022;58035
CT-0975;E.T. CAN DRAPER-2;170265;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.058200;LINESTRING (438798.32660000003 4612678.5723, 438798.2684 4612678.5723);58025;58024
CT-0975;E.T. CAN DRAPER-2;170268;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.049400;LINESTRING (438798.2684 4612678.5229, 438798.2684 4612678.4735);58031;58032
CT-0975;E.T. CAN DRAPER-2;170274;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.418900;LINESTRING (438798.6243 4612678.5578000005, 438798.3885 4612678.5578000005, 438798.3885 4612678.3747000005);58027;58037
CT-0975;E.T. CAN DRAPER-2;170259;0;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.075000;LINESTRING (438798.0764 4612678.5229, 438798.15140000003 4612678.5229);58028;58029
CT-0975;E.T. CAN DRAPER-2;170264;0;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.050000;LINESTRING (438798.15140000003 4612678.5229, 438798.2014 4612678.5229);58029;58030
CT-0975;E.T. CAN DRAPER-2;170263;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.067000;LINESTRING (438798.2014 4612678.5229, 438798.2684 4612678.5229);58030;58031
CT-0975;E.T. CAN DRAPER-2;170262;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.049400;LINESTRING (438798.2684 4612678.5723, 438798.2684 4612678.5229);58024;58031
CT-0975;E.T. CAN DRAPER-2;170269;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.157000;LINESTRING (438798.32660000003 4612678.6711, 438798.2684 4612678.6711, 438798.2684 4612678.5723);58021;58024
CT-0975;E.T. CAN DRAPER-2;170277;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.021900;LINESTRING (438798.3485 4612678.6711, 438798.32660000003 4612678.6711);58022;58021
CT-0975;E.T. CAN DRAPER-2;170276;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.035200;LINESTRING (438798.32660000003 4612678.5723, 438798.3618 4612678.5723);58025;58026
CT-0975;E.T. CAN DRAPER-2;170272;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.476400;LINESTRING (438798.3618 4612678.5723, 438798.3618 4612678.3578, 438798.6237 4612678.3578);58026;58039
CT-0975;E.T. CAN DRAPER-2;170266;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.058200;LINESTRING (438798.32660000003 4612678.4735, 438798.2684 4612678.4735);58033;58032
